Categories,Name,AdditionalDescription
"Defaults",todays_date_note_format,"Set to %Mmm-%dd-%yy"
"Defaults",tolerance_standard,"Set to ansi"
"Defaults",weld_ui_standard,"Set to ansi"
"Defaults",search_path_file,"Set to $CREO_COMMON_FILES\ifx\parts\prolibrary\search.pro"
"Favorites",2d_palette_path,"Add a library of your own sketches to save lots of time."
"Favorites",allow_confirm_window,"Do not show the are you sure you want to exit dialog"
"Newly Added",composite_laser_projection_dir,"Added in Creo 11"
"Newly Added",composite_stacks_dir,"Added in Creo 11"
"Newly Added",default_boundary_refs_strong,"Added in Creo 11"
"Newly Added",enable_hsmseq_holder_degouge,"Added in Creo 11"
"Newly Added",ezta_app_options_file,"Added in Creo 11"
"Newly Added",foreground_curves,"Added in Creo 11"
"Newly Added",nmgr_geom_checks,"Added in Creo 11"
"Newly Added",nmgr_ref_changed_include_local,"Added in Creo 11"
"Newly Added",selection_prioritize_quilts,"Added in Creo 11"
"Newly Added",sketcher_disp_locks,"Added in Creo 11"
"Newly Added",sketcher_disp_sub_centerlines,"Added in Creo 11"
"Newly Added",sketcher_disp_sub_construction,"Added in Creo 11"
"Newly Added",sketcher_disp_sub_csys,"Added in Creo 11"
"Newly Added",sketcher_disp_sub_points,"Added in Creo 11"
"Newly Added",sketcher_import_autoscale,"Added in Creo 11"
"Newly Added",smt_flat_instance_name_format,"Added in Creo 11"
"Newly Added",smt_flat_rep_inst_option,"Added in Creo 11"
"Newly Added",smt_flat_simp_rep_name_format,"Added in Creo 11"
"Newly Added",step_add_import_model_to_asm,"Added in Creo 11"
"Newly Added",step_assembly_import_type,"Added in Creo 11"
"Newly Added",step_multibody_part_import_type,"Added in Creo 11"
"Newly Added",surface_triangulation_limit,"Added in Creo 11"
"Newly Added",total_excel_colms_import_in_tbl,"Added in Creo 11"
"Newly Added",total_excel_rows_import_in_tbl,"Added in Creo 11"
"Newly Added",weld_export_all_levels,"Added in Creo 11"
"Newly Added",weld_export_type,"Added in Creo 11"
"Newly Added",weld_joint_members_mandatory,"Added in Creo 11"
"Newly Added",browser_open_pdf_document,"Added in Creo 10"
"Newly Added",cables_reorder_ref_des_len,"Added in Creo 10"
"Newly Added",cmpst_mtrl_angular_prms_unit,"Added in Creo 10"
"Newly Added",collaboration_config_file,"Added in Creo 10"
"Newly Added",composite_def_core_name_prefix,"Added in Creo 10"
"Newly Added",composite_def_core_seq_prefix,"Added in Creo 10"
"Newly Added",composite_def_ply_name_prefix,"Added in Creo 10"
"Newly Added",composite_def_ply_seq_prefix,"Added in Creo 10"
"Newly Added",enable_symbol_auto_flipping,"Added in Creo 10"
"Newly Added",exported_ply_file_name,"Added in Creo 10"
"Newly Added",export_plies_to_dxf_dwg_files,"Added in Creo 10"
"Newly Added",export_ply_area_text_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_cog_text_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_dir,"Added in Creo 10"
"Newly Added",export_ply_fiber_ang_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_fibers_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_file_format,"Added in Creo 10"
"Newly Added",export_ply_rosette_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_seed_pnt_to_dxf_dwg,"Added in Creo 10"
"Newly Added",export_ply_size_text_to_dxf_dwg,"Added in Creo 10"
"Newly Added",intf3d_open_outofdate_unite,"Added in Creo 10"
"Newly Added",keep_manikin_placement_enabled,"Added in Creo 10"
"Newly Added",manikin_dim_drag_lock,"Added in Creo 10"
"Newly Added",mfg_areaturn_cutcom_each_slice,"Added in Creo 10"
"Newly Added",mfg_cdplayer_refresh_grscreen,"Added in Creo 10"
"Newly Added",mfg_new_cl_player_for_sync,"Added in Creo 10"
"Newly Added",mfg_turn_iso_thread_apprexit_tm,"Added in Creo 10"
"Newly Added",plies_placement_in_dxf_dwg_file,"Added in Creo 10"
"Newly Added",regen_data_sharing_ref_models,"Added in Creo 10"
"Newly Added",retrieve_relations_ref_model,"Added in Creo 10"
"Newly Added",simple_hole_create_parameters,"Added in Creo 10"
"Newly Added",allow_default_templates,"Added in Creo 9"
"Newly Added",attach_last_surf_fin_to_cursor,"Added in Creo 9"
"Newly Added",creo_ansys_study_check_show,"Added in Creo 9"
"Newly Added",creo_ansys_use_inertia_relief,"Added in Creo 9"
"Newly Added",ecad_context_data_default_font,"Added in Creo 9"
"Newly Added",ecad_context_data_font_mapping,"Added in Creo 9"
"Newly Added",enable_bld_oper_goto_pnt_fix,"Added in Creo 9"
"Newly Added",enable_gamma_correction,"Added in Creo 9"
"Newly Added",hatch_pattern_auto_rotation,"Added in Creo 9"
"Newly Added",hatch_pattern_convert_all_xch,"Added in Creo 9"
"Newly Added",hatch_pattern_convert_disp_gal,"Added in Creo 9"
"Newly Added",hatch_pattern_max_update_time,"Added in Creo 9"
"Newly Added",hatch_pattern_rotation_interval,"Added in Creo 9"
"Newly Added",hatch_pattern_scale_in_drw_view,"Added in Creo 9"
"Newly Added",intf2d_in_acad_insunits,"Added in Creo 9"
"Newly Added",intf2d_in_acad_use_lineweight,"Added in Creo 9"
"Newly Added",intf2d_out_acad_hatches,"Added in Creo 9"
"Newly Added",intf2d_out_acad_splines,"Added in Creo 9"
"Newly Added",mdltree_show_last_contrib_feats,"Added in Creo 9"
"Newly Added",mfg_custom_sequence_param_file,"Added in Creo 9"
"Newly Added",mfg_output_same_feed_rate_hsm,"Added in Creo 9"
"Newly Added",mfg_recompute_stk_model_warning,"Added in Creo 9"
"Newly Added",mfg_stock_model_stk_file_dir,"Added in Creo 9"
"Newly Added",mfg_vol_mill_correct_entry_exit,"Added in Creo 9"
"Newly Added",release_license_on_app_closing,"Added in Creo 9"
"Newly Added",rotation_angle,"Added in Creo 9"
"Newly Added",show_mtrl_preview_by_default,"Added in Creo 9"
"Newly Added",simlive_contact_detect_inactive,"Added in Creo 9"
"Newly Added",sketcher_auto_scale_dimensions,"Added in Creo 9"
"Newly Added",sketcher_highlight_intersecting,"Added in Creo 9"
"Newly Added",sketcher_highlight_junctions,"Added in Creo 9"
"Newly Added",sketcher_highlight_overlapping,"Added in Creo 9"
"Newly Added",suppress_hsm_progress_dialog,"Added in Creo 9"
"Newly Added",surface_finish_free_with_leader,"Added in Creo 9"
"Newly Added",surface_finish_repeat_mode,"Added in Creo 9"
"Newly Added",system_patterns_in_hatch_gal,"Added in Creo 9"
"Newly Added",3d_datum_display_fill,"Added in Creo 8"
"Newly Added",3d_datum_planes_transparency,"Added in Creo 8"
"Newly Added",allow_color_change_for_symbols,"Added in Creo 8"
"Newly Added",attach_last_symbol_to_cursor,"Added in Creo 8"
"Newly Added",creo_ansys_large_deflection,"Added in Creo 8"
"Newly Added",csys_color_rgb,"Added in Creo 8"
"Newly Added",datum_display_default,"Added in Creo 8"
"Newly Added",datum_outline_default_height,"Added in Creo 8"
"Newly Added",datum_outline_default_width,"Added in Creo 8"
"Newly Added",default_fit_clearance_hole,"Added in Creo 8"
"Newly Added",def_sym_gal_state_new_folder,"Added in Creo 8"
"Newly Added",dm_custom_checkin_prompt,"Added in Creo 8"
"Newly Added",dwg_disp_vertices,"Added in Creo 8"
"Newly Added",dwg_sketch_coincident_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_diagonal_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_equal_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_horizontal_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_instant_snap_to_geom,"Added in Creo 8"
"Newly Added",dwg_sketch_midpoint_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_parallel_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_perpendicular_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_ribbon,"Added in Creo 8"
"Newly Added",dwg_sketch_snap_sensitivity,"Added in Creo 8"
"Newly Added",dwg_sketch_snap_to_model_geom,"Added in Creo 8"
"Newly Added",dwg_sketch_tangent_guide,"Added in Creo 8"
"Newly Added",dwg_sketch_vertical_guide,"Added in Creo 8"
"Newly Added",enable_clearance_plunge_fix,"Added in Creo 8"
"Newly Added",enable_insep_asm_operations,"Added in Creo 8"
"Newly Added",enable_legacy_datum_planes,"Added in Creo 8"
"Newly Added",enable_traj_fix_nrmsrf_axisdfs,"Added in Creo 8"
"Newly Added",flat_simp_rep_name,"Added in Creo 8"
"Newly Added",hole_load_system_param_files,"Added in Creo 8"
"Newly Added",intf2d_in_symbol_font,"Added in Creo 8"
"Newly Added",intf3d_in_gplug_high_deg_surf,"Added in Creo 8"
"Newly Added",intf3d_in_use_default_body,"Added in Creo 8"
"Newly Added",keep_publish_geom_in_footer,"Added in Creo 8"
"Newly Added",mfg_scan_tool_cutting_data,"Added in Creo 8"
"Newly Added",mfg_warn_del_ft_act_in_sync,"Added in Creo 8"
"Newly Added",model_tree_selection_priority,"Added in Creo 8"
"Newly Added",nmgr_feat_not_meet_standard,"Added in Creo 8"
"Newly Added",reset_hole_note_at_edit,"Added in Creo 8"
"Newly Added",restricted_symbol_palette,"Added in Creo 8"
"Newly Added",sketch_dim_background_color,"Added in Creo 8"
"Newly Added",sketch_dim_background_color_rgb,"Added in Creo 8"
"Newly Added",sketch_dim_background_trans,"Added in Creo 8"
"Newly Added",sketch_max_guide_refs,"Added in Creo 8"
"Newly Added",sketch_ref_list_sensitivity,"Added in Creo 8"
"Newly Added",sketch_thick_dim_line_highlight,"Added in Creo 8"
"Newly Added",spin_with_3d_datum_planes,"Added in Creo 8"
"Newly Added",symbol_free_with_leader,"Added in Creo 8"
"Newly Added",symbol_repeat_mode,"Added in Creo 8"
"Newly Added",system_symbols_in_gallery,"Added in Creo 8"
"Newly Added",use_stdtip_osetno_for_flashtip,"Added in Creo 8"
"Essentials",sketcher_starts_in_2d,"Ensures the sketch opens in a 2D orientation (view normal to the sketch plane), making it easier to begin sketches without manual reorientation."
"Essentials",sketcher_dimension_autolock,"Locks newly created sketch dimensions by default, preventing them from changing unintentionally and preserving design intent."
"Essentials",default_abs_accuracy,"Ensure consistent precision across models (especially important for multi-part designs or complex geometry)."
"Essentials",accuracy_lower_bound,"Set to .000001 for complex geometry."
"Essentials",regen_failure_handling,"When set to no_resolve_mode, the system will not enter resolve mode on regeneration failure, allowing you to continue working and fix issues later instead of being interrupted."
"Essentials",save_objects,"Setting this to changed ensures only objects that have been modified are saved, avoiding needless re-saving of unchanged components and reducing file management overhead."
"Essentials",drawing_setup_file,"You should have a company standard drawing setup file that is used for all new drawings."
"Essentials",pro_unit_length,"Which are the units of length in your company?"
"Essentials",pro_unit_mass,"Which are the units of mass in your company?"
"Essentials",pro_unit_sys,"Which are the units of system in your company?"
"Essentials",file_open_default_folder,"Set to Working Directory to save time"
"Essentials",open_simplified_rep_by_default,"You should be using this all the time."
"Essentials",spin_with_3d_datum_planes,"If you have a good graphics card, turn it on to spin with 3D datum planes."
"Recommended",sketcher_disp_weak_dimensions,"Turning this off (no) hides automatically generated weak dimensions in Sketcher, decluttering the sketch and allowing you to focus on critical dimensions."
"Recommended",sketcher_refit_after_dim_modify,"Disabling this (set to no) prevents the sketch view from automatically refitting (zooming out) after each dimension change, so your view remains focused where you are working."
"Recommended",spin_center_display,"Turning off the on-screen spin center indicator makes the display less cluttered while rotating the model (the spin center can still be toggled or used as needed)."
"Recommended",tangent_edge_display,"Setting this to 'dimmed' displays tangent edges in a subdued gray rather than solid lines. This improves visual clarity by showing tangencies softly without overwhelming the model view."
"Recommended",edge_display_quality,"Using a high setting provides smoother, less faceted curved edges in the model display at the cost of some performance. This improves the visual quality of curves and circles in shaded view."
"Recommended",enable_fsaa,"Enables full-scene anti-aliasing (e.g., 4x) to smooth jagged edges on screen. This makes edges and details appear smoother for better visual quality, though higher settings may slightly impact graphics performance."
"Recommended",measure_auto_replace_mode,"When enabled (yes), the measure tool automatically replaces the second reference on new selections, allowing quicker successive measurements without manually clicking 'Replace' each time."
"Recommended",measure_dialog_expand,"Setting this to yes makes the Measure dialog open fully expanded by default, so all measurement results and options are immediately visible, improving efficiency by removing extra clicks."
"Recommended",open_window_maximized,"Opens Creo Parametric in a maximized window by default, which is especially helpful on smaller screens to use the full screen space without having to maximize the window manually."
"Recommended",enable_advance_collision,"Enables advanced collision detection in assembly or mechanism mode (e.g., a 'Stop when colliding' option during component drag), which helps in identifying interference by halting movement on contact."
"Performance",open_simplified_rep_by_default,"When set to yes, Creo will prompt to open a Simplified Representation by default. This is useful for large assemblies, as you can load a lighter rep for faster loading and then retrieve details as needed."
"Performance",blended_transparency,"Turning this off (no) disables alpha blending for transparent objects. This can improve performance in scenes with many transparent components (at the expense of visual realism) by simplifying how transparency is rendered."
"Performance",mass_property_calculate,"For large assemblies or on-demand analysis, setting this to by_request (instead of automatic) will calculate mass properties only when prompted, improving regeneration speed. Conversely, using automatic ensures up-to-date mass properties at each regeneration (helpful when weight tracking is critical)"
"Performance",autoplace_single_comp,"Disable for huge assemblies."
"Performance",can_snap_to_missing_ref,"Disable for huge assemblies."
"Performance",dim_inactive_components,"Disable for huge assemblies."
"Performance",shrinkwrap_alert,"Removes the warning about shrinkwrap when moving past 1."
"Performance",snap_to_constraints_during_drag,"Disable for huge assemblies."
"Performance",use_3d_thumbnail_in_lwg_rep,"Disable for huge assemblies."
"Performance",color,"Turn this off to save memory."
"Performance",auto_regen_views,"Use this to save memory."
"Performance",display_in_adding_view,"Use this to save memory."
"Performance",dwg_disp_dwg_view_tooltips,"Use this to save memory."
"Performance",dwg_view_combined_state_tooltip,"Use this to save memory."
"Performance",enable_shaded_view_in_drawings,"Use this to save memory."
"Performance",force_wireframe_in_drawings,"Never put shaded view in drawings. Useful for large assemblies."
"Performance",select_hidden_edges_in_dwg,"Use this to save memory."
"Performance",display_annotations,"Use this to save memory."
"Performance",dwg_show_screentip,"Use this to save memory."
"Performance",highlight_geometry,"Use this to save memory."
"Performance",prehighlight,"Use this to save memory."
"Performance",prehighlight_tree,"Use this to save memory."
"Performance",proe_memory_buffer_size,"Set to a higher value to use more memory."
"Performance",save_instance_accelerator,"Use this to save drive space or time."
"Performance",inactive_layout_transp_value,"Use this to save memory."
"Performance",shade_mfg_ref_models,"Use this to save memory."
"Performance",animate_explode_states,""
"Performance",disp_comp_name_in_symb_rep,""
"Performance",display,""
"Performance",display_planes,"Turn them off for loading larger assemblies."
"Performance",display_silhouette_edges,"Use this to save memory."
"Performance",enable_fsaa,"Use this to save memory."
"Performance",hlr_adv_interference_check_prt,"Use this to save memory."
"Performance",shade_quality,"Set to a level that is appropriate for your graphics card."
"Performance",shade_surface_feat,"Set to a level that is appropriate for your graphics card."
"Performance",spin_with_part_entities,""
