"Category","Name","Description","Values","Default Value"
"GTOL","datum_target_area_multiply_sign","Controls the display of multiplication sign used in the datum target","capital_X, lowercase_x, multiplication_sign","capital_X"
"GTOL","gtol_datums","Sets the drafting standard for displaying reference datums","std_ansi, std_ansi_mm, std_iso, std_jis, std_din, std_iso_jis, std_ansi_dashed, std_asme, std_iso_1101_2017, std_asme_y14.5_2018","std_ansi"
"GTOL","gtol_dim_placement","Determines the location of a feature control frame","on_bottom, under_value","on_bottom"
"GTOL","gtol_lead_trail_zeros","Controls the display of leading and trailing zeros in gtols","same_as_lead_trail_zeros, by_model_units, trail_only, lead_only, both","same_as_lead_trail_zeros"
"GTOL","new_iso_set_datums","Controls display of set datums according to ISO standards","yes, no","yes"
"GTOL","set_datum_triangle_display","Controls the display of the set datum triangle","filled, open","filled"
"GTOL","stacked_gtol_align","Controls alignment of control frame for stacked geometric tolerances","yes, no","yes"
"GTOL","gtol_indicator_attached","Specifies whether to attach plane and feature indicators to GTOL frame","yes, no","yes"
"GTOL","gtol_secondary_value_precision","Controls the precision of secondary values in geometric tolerances","round, truncate","round"
"GTOL","system_symbols_in_gallery","Controls display of system symbols in symbol gallery","yes, no","yes"
"Tables, Repeat Regions, Balloons","2d_region_columns_fit_text","Determines whether each column in a two-dimensional repeat region automatically resizes to fit the longest piece of text in each column and does not overlap adjacent columns or force large gaps in the table","yes, no","no"
"Tables, Repeat Regions, Balloons","dash_supp_dims_in_region","Controls display of dimension values in Pro/REPORT table repeat regions","yes, no","yes"
"Tables, Repeat Regions, Balloons","def_bom_balloons_attachment","Sets the default attachment method for BOM balloons","edge, surface","edge"
"Tables, Repeat Regions, Balloons","def_bom_balloons_edge_att_sym","Controls the default leader head when BOM balloons are attached to edges","arrowhead, dot, filled_dot, no_arrow, slash, integral, box, filled_box, target, half arrow, triangle","arrowhead"
"Tables, Repeat Regions, Balloons","def_bom_balloons_snap_lines","Determines whether snap lines are created around the view when showing BOM balloons","yes, no","no"
"Tables, Repeat Regions, Balloons","def_bom_balloons_stagger","Determines whether BOM balloons are displayed in a staggered manner by default","yes, no","no"
"Tables, Repeat Regions, Balloons","def_bom_balloons_stagger_value","Controls the distance between consecutive offset lines when BOM balloons are displayed in a staggered manner","0.600000","0.600000"
"Tables, Repeat Regions, Balloons","def_bom_balloons_surf_att_sym","Controls the default leader head when BOM balloons are attached to surfaces","integral, arrowhead, dot, filled_dot, no_arrow, slash, box, filled_box, target, half arrow, triangle","integral"
"Tables, Repeat Regions, Balloons","def_bom_balloons_view_offset","Controls the default offset distance from the view boundaries on which to show BOM balloons","0.800000","0.800000"
"Tables, Repeat Regions, Balloons","default_bom_balloon_type","Defines the default BOM balloon type when you create BOM balloons","simple_circle, quantity_split_circle, <custom balloon symbol name>","simple_circle"
"Tables, Repeat Regions, Balloons","default_table_column_width","Specifies the default column width in number of characters for new tables","10","10"
"Tables, Repeat Regions, Balloons","default_table_columns","Specifies the default number of columns for new tables","4","4"
"Tables, Repeat Regions, Balloons","default_table_row_height","Specifies the default row height in number of characters for new tables","1","1"
"Tables, Repeat Regions, Balloons","default_table_rows","Specifies the default number of rows for new tables","2","2"
"Tables, Repeat Regions, Balloons","min_dist_between_bom_balloons","Controls the default minimum distance between BOM balloons","0.800000","0.800000"
"Tables, Repeat Regions, Balloons","model_digits_in_region","Controls display of number of digits in two-dimensional repeat regions","yes, no","yes"
"Tables, Repeat Regions, Balloons","ptc_reported_material_in_region","Specifies what to show for multiple materials in repeat region","multi-material, list, empty","multi-material"
"Tables, Repeat Regions, Balloons","reference_bom_balloon_text","Controls reference balloon text identifier for BOM balloons","REF, <user-defined text>","REF"
"Tables, Repeat Regions, Balloons","show_cbl_term_in_region","Controls display of terminators in Pro/REPORT tables","yes, no","no"
"Tables, Repeat Regions, Balloons","show_dim_sign_in_tables","Controls display of negative values in drawing tables","yes, no","yes"
"Tables, Repeat Regions, Balloons","sort_method_in_region","Determines sorting mechanism for repeat regions","delimited, string_only, trailing_numbers, pre-2001","delimited"
"Tables, Repeat Regions, Balloons","substituted_comp_cparam_report","Defines parameters in report after component substitution","original, substitute","original"
"Tables, Repeat Regions, Balloons","zero_quantity_cell_format","Specifies character to use in repeat regions cells with zero quantity","empty, 0, -","empty"
"Layers","draw_layer_overrides_model","Controls whether drawing layer settings override model layer settings","yes, no","no"
"Layers","draw_new_model_layer_all","Controls whether new model layers are automatically added to all drawing views","yes, no","no"
"Layers","ignore_model_layer_status","Controls whether model layer status is ignored in drawing views","yes, no","no"
"Model Grids","model_grid_balloon_display","Controls the display of model grid balloons","yes, no","no"
"Model Grids","model_grid_balloon_size","Sets the size of model grid balloons","0.156250","0.156250"
"Model Grids","model_grid_neg_prefix","Specifies the prefix for negative grid values","text value","-"
"Model Grids","model_grid_num_dig_display","Controls the number of digits displayed in model grid values","1","1"
"Model Grids","model_grid_offset","Sets the offset distance for model grid values","0.156250","0.156250"
"Model Grids","model_grid_text_orientation","Controls the orientation of model grid text","horizontal, vertical","horizontal"
"Model Grids","model_grid_text_position","Specifies the position of model grid text","inside, outside","outside"
"Piping Bend Intersection","pipe_pt_line_style","Controls the line style for theoretical piping bend intersection points","default, solid, dashed, phantom","default"
"Piping Bend Intersection","pipe_pt_shape","Controls the shape of theoretical piping bend intersection points","cross, dot, circle, triangle, square","cross"
"Piping Bend Intersection","pipe_pt_size","Sets the size of theoretical piping bend intersection points","0.156250","0.156250"
"Piping Bend Intersection","show_pipe_theor_cl_pts","Controls the display of theoretical piping bend intersection points","yes, no","no"
"Tolerancing","blank_zero_tolerance","Controls display of zero tolerance values","yes, no","no"
"Tolerancing","dim_tol_lead_trail_zeros","Controls display of leading and trailing zeros in dimension tolerances","yes, no","yes"
"Tolerancing","dim_tol_trail_zero_max_places","Sets maximum number of decimal places for dimension tolerances","6","6"
"Tolerancing","display_tol_by_1000","Controls display of tolerances in thousandths","yes, no","no"
"Tolerancing","symmetric_tol_display_standard","Controls display of symmetric tolerances","std_ansi, std_iso","std_ansi"
"Tolerancing","tol_display","Controls display of tolerances","nominal, limits, plusminus, plusminussym, plusminussym_super","nominal"
"Tolerancing","tol_text_height_factor","Sets ratio between tolerance text height and dimension text height","0.750000","0.750000"
"Tolerancing","tol_width_factor","Sets ratio between tolerance text width and dimension text width","0.800000","0.800000"
"Miscellaneous","consider_drawing_scale_callout","Controls whether drawing scale is considered when placing callouts","yes, no","no"
"Miscellaneous","decimal_marker","Controls the decimal marker symbol in dimensions and other annotations","period, comma","period"
"Miscellaneous","datum_target_outside_text","Controls the placement of datum target text","yes, no","no"
"Miscellaneous","default_pipe_bend_note","Controls the display of pipe bend notes","yes, no","no"
"Miscellaneous","display_small_draft_entities","Controls display of small draft entities","yes, no","yes"
"Miscellaneous","drawing_units","Sets the default units for drawing dimensions","inch, mm, cm, m","inch"
"Miscellaneous","harn_tang_line_display","Controls display of harness tangent lines","yes, no","yes"
"Miscellaneous","line_style_standard","Controls line style standards","std_ansi, std_iso, std_jis, std_gb, std_eskd, std_din","std_ansi"
"Miscellaneous","max_balloon_radius","Sets maximum radius for balloon leader","0.500000","0.500000"
"Miscellaneous","min_balloon_radius","Sets minimum radius for balloon leader","0.125000","0.125000"
"Miscellaneous","node_radius","Sets radius of nodes indicating location","0.062500","0.062500"
"Miscellaneous","pos_loc_format","Controls format of position location","cartesian, polar","cartesian"
"Miscellaneous","sym_flip_rotated_text","Controls text orientation when symbol is flipped","yes, no","no"
"Miscellaneous","weld_spot_side_significant","Controls whether spot weld side is significant","yes, no","no"
"Miscellaneous","weld_symbol_standard","Controls weld symbol standard","std_ansi, std_iso, std_jis, std_gb","std_ansi"
"Miscellaneous","yes_no_parameter_display","Controls display of yes/no parameters","yes_no, true_false, 1_0","yes_no"
"Cross Sections","default_hatch_type","Sets the default crosshatch pattern file type to be used in models and drawings","xch, pat","xch"
"Cross Sections","hatch_pattern_convert_disp_gal","Specifies which hatch galleries will display patterns converted from XCH to PAT format","drawing, everywhere, hide","drawing"
"Cross Sections","hatch_pattern_max_update_time","Sets the maximum allowed time to update the hatch display","3.500000","3.500000"
