"Category","Name","Description","Value ","Default Value"
Dimensions & Tolerances,ang_dim_in_screen,"Yes - If the display is in the default pan/zoom setting (View>Pan/Zoom>Reset), the system checks whether an angular dimension is visible on the screen. If it is not visible, then the system moves the dimension to a visible location.","yes, no",no
Features,angle_grid_interval,Modify grid space in angular units for handle movement.,,1
Dimensions & Tolerances,angular_tol,"An alternative format for setting default angular tolerance dimensions. The value sets the number of decimal places, and the tolerance is the actual tolerance value. For integer dimensions, the value is zero, and the tolerance is an integer.",,0
Dimensions & Tolerances,angular_tol_0.0,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,5
Dimensions & Tolerances,angular_tol_0.00,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,50
Dimensions & Tolerances,angular_tol_0.000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,500
Dimensions & Tolerances,angular_tol_0.0000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,5000
Dimensions & Tolerances,angular_tol_0.00000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,50000
Dimensions & Tolerances,angular_tol_0.000000,Sets the default tolerance for angular dimensions. Each option sets a tolerance for a specific decimal place. The value is the place of the last decimal.,,500000
Model Display,animate_component_placement,Animate the transition between component states in placement.,"yes, no",yes
Model Display,animate_explode_states,Animate the transition between explode states and mold opening steps.,"yes, no",yes
Without category,animation_imported_pbk_dir,Sets the default directory for the playback files to be used for Imported Animation.,,
Without category,anlfeat_update_on_redefine,Force full analysis feature update (like new) on redefinition,"yes, no",no
Assembly,annot_elem_params_with_units,Some annotation element virtual parameters which were previous passed unitless will not be passed as attributes with units.,,1
Creo Simulate,ansys_shell181_integ_method,Sets the integration method used for Ansys SHELL181. reduced - uses uniform reduced integration. full - uses full integration. Default is full.,"full, reduced",full
Without category,arc_radius_limit,"Sets the upper limit for a radius in a CIRCLE statement of NCL file. The value must be positive. If not, 10*part_size is used.",,-1
Without category,ask_designate_owners,Show the both required and optional owners to be designated.,"yes, no",yes
Without category,assemble_module_in_rep,Retrieves the assembled module to CSA in a specified representation.,,representative module variant
Electromechanical,assemble_parent_connector,Assemble parent connectors on locations referencing a subconnector.,"yes, no",yes
Manufacturing,assy_mfg_open_mode,No Default Application set for opening Assembly NC Models.,"mfg, process, feature, any_mode",any_mode
Data Exchange,atb_auto_check_on_activate,Sets state of ATB 'Auto Check Status On Activate' toggle.,"off, on",off
Data Exchange,atb_auto_check_on_retrieve,Sets state of ATB 'Auto Check Status On Retrieve' toggle.,"off, on",on
Data Exchange,atb_auto_check_on_update,Sets state of ATB 'Auto Check Status On Update' toggle.,"off, on",off
Data Exchange,atb_ident_cadds_files,Allows to identify CADDS files in the file open browser.,"yes, no",no
Data Exchange,atb_prod_asm_upd_by_comp_ids,"Allows to update a Pro/DESKTOP assembly based on assembly component ids, if set to YES. Otherwise, the update will be based on component names.","yes, no",yes
Without category,atb_search_path,Extends search path for ATB Update and ATB Check Status commands.,,
Data Exchange,atb_show_log,Sets state of ATB 'Show Log' toggle.,"off, on",on
Without category,attach_menumanager,Setup menu manager attachment to the main Creo Parametric window.,"yes, no",no
Features,auto_add_remove,Allows Creo Parametric to automatically switch from add to remove of material for solid extrude and revolve during feature creation.,"yes, no",no
User Interface,auto_ae_param_file,Define path and file name of external file used to define parameters that are automatically created in all Annotation Elements.,,
Assembly,auto_assembly_with_notebooks,Yes - Enables automatic assembly. No - Disables automatic assembly.,"yes, no",yes
Data Exchange,auto_associate_dimensions,"If set to yes, Creo Parametric will attempt to take imported dimensions that are not associative and link them to geometric entities so that they act as associative.","yes, no",no
Assembly,auto_backup_new_placemnt_refs,"Yes - Create Component Reference Backup, No - Do not Create Component Reference Backup.","yes, no",no
Without category,auto_clean_shown_dimensions,This option controls whether the clean dimensions routine is automatically applied for newly shown dimensions. When set to NO the dimensions will be shown using their default locations from the model.,"yes, no",yes
Assembly,auto_constr_always_use_offset,Control whether auto constraint should create offsets. Yes - Auto constraint alw ays creates offsets. No - Auto constraint snaps align or mate if surfaces are wi thin tolerance. Never - Auto constraint never create offsets.,"yes, no, never",no
Drawing,auto_constr_offset_tolerance,"Sets the auto constraint tolerance for creating offset dimensions. If distance is less than this tolerance multiplied by component size, offset is set as coincident. Default value is 0.5 .",,0.5
Electromechanical,auto_convert_cables,"Yes - When regenerating a pre-Release 11.0 cabling assembly, the system automatically creates a separate spool feature for every individual wire or cable in the assembly. No - An interface for the cable conversion appears.","yes, no",yes
Without category,auto_eval_current_cnfg_rule,"If the option is ""yes"" simplified representation would be updated each time on retrieve/regeneration if it contains current configuration rule.","yes, no",yes
Assembly,auto_evaluate_simprep_rules,"If the option is ""yes"" newly created rep would be updated each time on   retrieve/regeneration.","yes, no",no
User Interface,auto_include_annot_plane,Control the default setting of the check box in the Propagate annotation dialog box which controls whether to pass all annotations plane references.,"yes, no",yes
Assembly,auto_place_max_number,Set the default value for the maximum number of matches allowed.,,5
User Interface,auto_propagate_ae,"Yes - causes the automatic, local propagation of AE's after a supported feature has been created.","yes, no",no
Drawing,auto_regen_views,Yes - Automatically repaints the drawing display when changing from one window to another. No - Update to drawing views will only occur when manual updates are made via Repaint or View> Update.,"yes, no",yes
Without category,auto_show_3d_detail_items,"When set to yes, AEs parallel to the view will be displayed while creating a new view.","yes, no",yes
System,auto_traceback,"""always"": a traceback file will be generated when a fatal error occurs. ""yes"", ""ask"": ask the user whether to generate a traceback. ""no"", ""never"": no traceback will be generated.","yes, no, never, ask, always",always
Without category,auto_update_default_dwg_model,Automatically update the default drawing model to one shown in a view on the current sheet.,"yes, no",yes
Assembly,auto_update_intersected_models,Control the appearance of the intersection tool and scope of available functionalities.,"yes, no",yes
Electromechanical,auto_xml_on_retrieve,Automatically load Cabling Logical Reference from an XML file when retrieving the cabling assembly,"yes, no",no
Electromechanical,auto_xml_on_save,Automatically create an XML Logical Reference when saving a cabling assembly,"yes, no",no
Drawing,autobuildz_enabled,Loads AutobuildZ application.,"yes, no",no
Manufacturing,autodrill_udf_dir,Storage directory for holemaking MUDF's that are used by Pro/NC Auto-drilling functionality,,
Manufacturing,autodrilling_config_filename,Retrieve automatically and load the configuration file for the auto-drilling table.,,autodrilling
Manufacturing,autodrilling_holestyle_param,Parameter name included in hole features of a manufacturing reference model.  The parameter value identifies the MUDF for holemaking that is automatically applied in Pro/NC to drill these holes.,,
Features,autohide_copied_group_af,"If set to yes, copying a feature group containing an Annotation feature will automatically hide the Annotation Features in the new group.","yes, no",no
Features,autohide_external_sketch,"If set to yes, a Sketch feature is automatically hidden after being used as external sketch for a sketch based feature.","yes, no",yes
Assembly,autoplace_single_comp,Assembling components with an interface will automatically place the component at the first position satisfying the interface definitions.,"yes, no",yes
Features,autoround_max_n_chains_per_feat,Determines the maximum number of edge chains that the Auto-Round algorithm will attempt to round in each Auto-Round member,,20
Electromechanical,autoroute_path_param_name,Set the wire parameter to use to select a path during autorouting.,,use_path
User Interface,auxapp_popup_menu_info,Enable display of popup menu info in the trail file.,"yes, no",no
Environment,bell,Yes - Turns on the keyboard bell that rings after each prompt. No - Turns off the keyboard bell. To override this setting use the Environment dialog box on the Tools menu.,"yes, no",no
Data Management,bitmap_size,Works in conjunction with save_bitmap. Determines the size (squared) of the bitmap image that is stored.,,200
Layers,blank_layer,Blanks specified layers when you begin a Creo Parametric session. The value is the layer ID.,,
Model Display,blended_transparency,Yes - Transparent colors will appear using alpha blending (if supported) when the model is shaded.,"yes, no, independent",yes
User Interface,bm_graph_tool,BMX graph tool,"default, excel_linked, excel_embedded",default
User Interface,bmgr_pref_file,Specifies the location of the Graph Tool preference file.,,
Without category,bmx_param_restrictions,Restricted parameters automatically violate constraints in any Design Study,"yes, no",yes
Without category,boeing_extract_bundle,Yes - Uses the extract bundle algorithm. No - Does not use the extract bundle algorithm.,"yes, no",no
Drawing,bom_format,Sets the BOM format file to be used for a customized BOM.  Specify name and path.,,<creo_loadpoint>\text\format.bft
File Storage & Retrieval,browser_favorite,Specifies the directories visible in the file browser for quick navigation.  Use the full path to avoid problems.,,
System,browser_limit_to_ie9_mode,Limit Internet Explorer to IE9 standard mode even if higher version is installed.,"yes, no",no
Assembly,bump_revnum_on_retr_regen,"Determines whether or not revision number is increased for generic models that regenerate and change during assembly retrieval.  Only applies if new_asm_regen_revnums is yes (otherwise, there will be no revision number bumping).","yes, no",yes
User Interface,button_name_in_help,"Yes - The name and menu of any selected menu option displays, in English, in the help text associated with that button.","yes, no",no
Electromechanical,cable_int_portions_for_clr,No - Global clearance checking for internal cable portions is excluded. Yes - Global clearance checking for internal cable portions is included.,"yes, no",no
Electromechanical,cable_jacket_termination,Ports - Cable jackets are routed between the entry ports. Network Ends - Cable jackets are terminated at the network ends.,"ports, network ends",network ends
Electromechanical,cable_location_override_color,Override the system color of cable locations. Enter RGB values between 0 and 255 separated by space.,,
Electromechanical,cable_segment_override_color,Override the system color of cable segments that do not have a color map. Enter RGB values between 0 and 255 separated by space.,,
Electromechanical,cables_with_hlr,Cables are not hidden behind objects.,"yes, no",yes
Electromechanical,cabling_split_multi_pnt_locs,Setup whether to convert multiple-location features into single location features.,"yes, no",yes
Data Exchange,cadds_import_layer,Allows import of CADDS5 layering.,"yes, no",yes
Manufacturing,campost_dir,Specifies the CAM-Post load point directory to enable you to directly set-up the post-processors and generate MCD files.,,
Assembly,can_snap_to_missing_ref,Controls whether to enable snapping to missing references while dragging components for placement. Yes - Snapping is enabled while dragging. No - Snapping is disabled while dragging.,"yes, no",yes
Model Display,capped_clip,Yes - Displays the model as a solid when shaded and clipped. No - Displays the model as surfaces when shaded and clipped.,"yes, no",yes
Data Exchange,catia_out_to_existing_model,"Append - If the selected CATIA model already exists, the new data is appended to the existing CATIA file. Overwrite - If the selected CATIA model already exists, the newly exported file overwrites the existing one.","append, overwrite",append
Features,centimeter_grid_interval,Modify grid space in centimeter units for handle movement.,,0.1
Data Exchange,cgm_use_pentable,No - Do not use a defined pen table for formatting of CGM export.,"yes, no",no
Assembly,check_interface_criteria,Check for interfaces when placing a component.,"yes, no",no
Assembly,check_interference_of_matches,Show only matches that do not interfere with other components.,"yes, no",yes
Assembly,check_same_assy_parts,"Determines whether to permit different names for different part occurrences, or not in mirror subassembly UI.","yes, no",yes
Without category,check_udf_int_key,Yes - updates UDF internal keys upon group's retrieval. No - skips keys update.,"yes, no",yes
Manufacturing,chk_part_surfs_profpock,Yes - Includes all reference part surfaces as check surfaces for profiling and pocketing NC sequences.,"yes, no",no
Assembly,chooser_size_filter_default,Sets the size filter default value as a percentage of the overall assembly size,,
Manufacturing,cl_arrow_scale,Enables you to control the size of the tool path arrow for contouring NC sequences. 0 - The arrow does not display. Any other value - The arrow scales accordingly.,,1
Manufacturing,cl_rotate_sign_convention,TOOL or TABLE - defines ROTATE sign direction convention based with respect to either rotation table or cutting tool.,"table, tool",table
Environment,clearance_triangulation,Specifies the quality of surface triangulation used to obtain initial guess points for clearance and interference calculations.,"none, high, medium, low",none
Model Display,clip_always,Yes - Display clipping after Visibilities dialog box is closed.,"yes, no",yes
Environment,clock,Yes - Displays the clock while Creo Parametric is working.,"yes, no",no
Sheetmetal,close_corner_relief,Closes the gap between the bend surfaces of a corner that is a result of intersecting walls in the form state.,"yes, no",no
Environment,clr_print_plus_minus,Sets the display of the system accuracy when calculating clearances between two parts or surfaces. The default is to not display the accuracy.,"yes, no",no
System,cmdmgr_trail_output,Trail file and mapkey output will include system instructions that are independent of user interface configuration when available (typically menu bar and toolbar options).,"yes, no",yes
Manufacturing,cmm_custom_tool_param_file,Defines the file that contains the user-defined tool parameters' list.,,
Without category,collect_dims_in_active_layer,This config options allows dimensions to be collected on the active layer.,"yes, no",yes
Colors,color,Turns the colors on or off. Turning colors off displays the model wireframe in white.,"yes, no",yes
Colors,color_ramp_size,"Specifies the number of shades in a color ramp. Applicable to multi-color, shaded model displays of simulation / analysis results. System graphics must support 256 colors and color maps that compress.",,-1
Colors,color_resolution,Specifies minimum allowable deviation between user-defined colors. Colors having RGB values within tolerance of existing colors cannot be created. Decreasing this setting allows more colors that are very similar in RGB value to be defined.,,0.1
Without category,combined_views_customization,Enable / Disable combined views customization.,"yes, no",yes
Assembly,comp_angle_offset_eps,"Specifies the angle epsilon such that if the desired surfaces are equal or greater than the epsilon (in degrees), than an angle offset constraint will be created.",,10
Assembly,comp_assemble_start,Sets the initial assembly placement behavior when assembling a new component. Default - Default initial position.  Package - Define initial position using the Move option.  Constraint_in_Window - Use secondary window.   Move_then_Place - Define initial position using the Move option and then  define placement constraints.,"package, constrain_in_window, default, move_then_place",
Without category,comp_assemble_with_interface,Settings for assembling component with interface(s).,"none, default_multi, default_single, from_list",default_multi
Without category,comp_interface_placement,Sets the default interface placement type. Interface to geometry - place the component using component interfaces and assembly geometry. Interface to Interface - place the component using assembly and component interfaces.,"interface_to_interface, interface_to_geom",interface_to_interface
Without category,comp_normal_offset_eps,"Specifies the angle epsilon such that if the desired surfaces are equal or less than the epsilon (in degrees), then a normal constraint will be created.",,10
Assembly,comp_placement_assumptions,Use placement assumptions when placing components.,"yes, no",yes
Assembly,comp_retr_angular_increment,Sets the accuracy for the selection of external components based on graphic computation.,,1
Assembly,comp_rollback_on_redef,No - Assembly is not rolled back when the user redefines a component.,"yes, no",yes
Without category,comp_snap_angle_tolerance,Specify the angle tolerance for snapping while freeform dragging components. Default value is 30.0 degrees.,,30
Without category,comp_snap_dist_tolerance,Specify the distance tolerance for snapping while freeform dragging components.  Default value is 0.1 (relative to size of component being assembled).,,0.1
Electromechanical,compact_cables_packing,Setup whether the new packing of cables should be applied.,"yes, no",no
Environment,company_name,"Used with the export option iges_out_mil_d_28000. To support MIL-D-28000, your company name is required input and the system prompts you every time you export through IGES unless you set the company name in your configuration file.",,
Electromechanical,compare_spools_by_name,Compare spools by names in logical compare.,"yes, no",yes
File Storage & Retrieval,compress_output_files,"Yes - Stores object files in a compressed format.  Note: Compressed files are usually smaller, buy may be larger,  than uncompressed files. Compressed files are slower to read and to write to.","yes, no",no
Miscellaneous,conf_mouse_anim,Display the presenter's mouse motions when observing a shared Creo Parametric session.,"yes, no",no
Without category,constraint_reference_redefine,keep_constraint_type - Adjusts the component position to keep the same constraint type. reset_constraint_type - Automatically changes the constraint type to keep the position of the component.,"keep_constraint_type, reset_constraint_type",keep_constraint_type
Without category,contact_surfaces_gap,Sets the maximum allowable gap between weld contact surfaces.,,0
Without category,convert_to_wf3_replace,Convert to Wildfire3 replace functionality.,"yes, no",no
Assembly,copy_geom_update_pre_2000i_dep,Yes - Flags independent copy geom features in a pre-2000i model as modified when retrieved into Creo Parametric. Save the model immediately to update the model's copy geom dependency information.,"yes, no",
Assembly,copy_geometry_method,Sets the default copy geometry reference(s) type,"publish_geometry, references",publish_geometry
Features,copy_set_datum_attr,"If set to yes, allow to copy set datum associated with datum features..","yes, no",yes
Without category,cosmetic_thread_match_tolerance,"Sets the tolerance, which is used in the analysis to match standard thread type and standard radius, to the selected thread surface.",,0.001
System,cpus_to_use,Set up the number of threads including main thread,,2
Drawing,create_drawing_dims_only,Yes - Saves all new driven dimensions created in the drawing inside the drawing as associative draft dimensions. No - Saves driven dimensions created in Drawing mode on solid geometry in the solid.,"yes, no",no
Without category,create_drw_sheet_thumbnails,Controls whether thumbnail images of drawing sheets will be generated and displayed with the drawing sheet tabs.  Setting this option to No may improve performance with large drawings.,"yes, no",yes
Dimensions & Tolerances,create_fraction_dim,Yes - All dimensions created will be displayed as fractions.,"yes, no",no
Layers,create_numbered_layers,Yes - Creates default layers named 1 through 32.,"yes, no",no
Assembly,create_temp_interfaces,Allow the automatic creation of interfaces based on previous assembly instructions.,"yes, no",no
Without category,creotkdat,Specify the full path to an additional Toolkit registry file.,,
Data Exchange,cri_grafting_enable,"Activates ""Graft features"" button under File menu. This allows user to graft features created in CRI model to active model.","yes, no",no
System,csv_format_delimeter,"Define the delimiter character in BOM format file: Comma, TAB, Semicolon, Space or other user-defined.","comma, tab, semicolon, space",
Electromechanical,cti_class_color_file,Sets the CTI class color file for CTI class color display  during electrical clearance and creepage analysis.  Use the full pathname to avoid problems.,,
Assembly Process,curr_proc_comp_def_color,Specifies the default color used to display the current component in a process assembly.,,0.000000 0.000000 0.000000
Assembly Process,curr_proc_comp_def_font,Specifies the default font used on the current component in a process assembly.,,
Creo Simulate,custom_rainbow,"Used to specify fringe colors in Pro/FEM-POST results. Specify blue, black, cyan, magenta, green, yellow, red, and white. Enter colors as a dash-delimited string (lowest to highest value). The default is blue-cyan-green-yellow-red-magenta-white.",,
Model Display,datum_point_symbol,Specifies the shape of datum point symbols displayed in Part or Assembly mode.,"dot, cross, circle, triangle, square",cross
Data Exchange,dazix_default_placement_unit,Specifies the units to be used for data imported in Dazix files.,"micron, mm, thou",
Data Exchange,dazix_export_mounthole,Yes - Causes the MOUNTHOLE section of a Dazix file to be processed as a mount hole.  No - Causes the MOUNTHOLE section to be processed as a cut.,"yes, no",no
Data Exchange,dazix_z_translation,Yes - Passes the objects in the .edn files through z translation.,"yes, no",yes
Layers,def_layer,Specifies default layer names for different types of items. The first value string is the layer type. The second value string is the layer name.,"layer_assem_member, layer_assy_cut_feat, layer_axis, layer_chamfer_feat, layer_comp_design_model, layer_comp_fixture, layer_comp_workpiece, layer_copy_geom_feat, layer_corn_chamf_feat, layer_cosm_round_feat, layer_cosm_sketch, layer_csys, layer_curve, layer_curve_ent, layer_cut_feat, layer_datum, layer_datum_plane, layer_datum_point, layer_detail_item, layer_dgm_conn_comp, layer_dgm_highway, layer_dgm_rail, layer_dgm_wire, layer_dim, layer_draft_constr, layer_draft_dim, layer_draft_dtm, layer_draft_entity, layer_draft_feat, layer_draft_geom, layer_draft_grp, layer_draft_hidden, layer_draft_others, layer_draft_refdim, layer_driven_dim, layer_dwg_table, layer_ext_copy_geom_feat, layer_feature, layer_geom_feat, layer_gtol, layer_hole_feat, layer_intchg_funct, layer_intchg_simp, layer_nogeom_feat, layer_note, layer_parameter_dim, layer_part_refdim, layer_point, layer_protrusion_feat, layer_quilt, layer_refdim, layer_ribbon_feat, layer_rib_feat, layer_round_feat, layer_sfin, layer_shell_feat, layer_skeleton_model, layer_slot_feat, layer_snap_line, layer_solid_geom, layer_surface, layer_symbol, layer_thread_feat, layer_trim_line_feat, layer_weld_feat, layer_all_detail_items, layer_annotation_element, layer_axis_ent, layer_csys_ent, layer_set_datum_tag, layer_3d_items, layer_ae_driving_dim, layer_draft_xsec, layer_hole_thread",
Environment,default_abs_accuracy,Defines the default absolute part accuracy.,,0
Drawing,default_ang_dec_places,Sets the default number of decimal places (0-13) to which to round newly created angular dimensions. Unrounded angular dimensions automatically determine the number of decimal places required to display their stored value.,,1
Dimensions & Tolerances,default_ang_units,"Sets the display of newly created angular dimensions both in the model and in the drawing. There is no impact on dimensions previously created. ang_deg - Decimal degrees.  ang_min - Degrees and decimal minutes ang_sec - Degrees, minutes, and decimal seconds","ang_deg, ang_min, ang_sec",ang_deg
Without category,default_cable_axis_location,Sets the location type for axis. Choose Along to create one location at each end of the axis.,"on, along",on
Reference Control,default_comp_geom_scope,Set thespecified Shared Geometry reference control conditions to newly added components.,"all, none, pg",all
Reference Control,default_comp_invalid_refs,Set the specified handling method of out-of-scope Accessible references to newly added components.,"copy, prohibit",copy
Reference Control,default_comp_module_geom_scope,Set the specified Shared Geometry reference control conditions to newly added components for configurable structure.,"all, none, pg, tagged",tagged
Reference Control,default_comp_scope_setting,Set the specified Accessible reference control conditions to newly added components.,"all, none, subassemblies, skeleton_model",all
Reference Control,default_comp_skel_geom_scope,Set the specified Shared Geometry reference control conditions to newly added Skeleton components.,"all, none, pg",all
Reference Control,default_comp_skel_scope_setting,Set the specified Accessible reference control conditions to newly added Skeleton components.,"all, none, subassemblies, skeleton_model",all
Dimensions & Tolerances,default_dec_places,Sets the default number of decimal places (0-13) to which to round newly created dimensions. Unrounded dimensions automatically determine the number of decimal places required to display their stored value.,,2
Features,default_dep_copy_option,Sets Full Dependent Copy as a default copy option.,"full_dep, dep_dim",dep_dim
Dimensions & Tolerances,default_dim_num_digits_changes,Sets the default number of digits displayed in a dimension to the last entered value. No - The system defaults to the value specified for the configuration file option default_dec_places.,"yes, no",yes
Drawing,default_draw_scale,Sets the default drawing scale for views added with the No Scale command. The value must be greater than 0. No - The system does not set a default drawing scale.,,-1
Without category,default_ext_ref_scope,Set default scope for externally referenced models. All - Any model. None - Only current model and children. Skeletons - Any component in model's assembly and higher skeletons on branch. Subassembly - Only components and children in model's assembly.,"all, none, subassemblies, skeleton_model",all
User Interface,default_font,"Sets font for text other than menu bar, menus and their children, and pop-up menus and help. Add comma-delimited variables in any order (italic bold, 24, times or 24, times, italic bold have the same effect). Any omitted variable uses standard setting.",,
Drawing,default_font_kerning_in_drawing,Determines initial setting of Font kerning when 2D drawing annotations are created. Yes - Font kerning is on for new 2D annotations.,"yes, no",no
Without category,default_geom_analysis_type,Default save type for geometry analysis.,"quick, saved, feature",quick
Reference Control,default_geom_scope,Default value for Geometry Scope allowed for referencing.,"all, pg_if_exists, pg_only",all
Layers,default_layer_model,Name of the model which is used to drive rule-based layer placement of new items in all models of the same type in session.,,
Casting & Mold Design,default_mold_base_vendor,Default Value for Mold Base vendor.,"futaba_mm, dme, hasco, dme_mm, hasco_mm",
Reference Control,default_obj_constraints_scope,Set the specified Shared Placement reference control conditions to newly created models if template models were not used.,"all, none, interfaces",all
Reference Control,default_obj_module_constr_scope,Set the specified Shared Placement reference control conditions to newly created models for configurable structure if template models were not used.,"all, none, interfaces, tagged",tagged
Reference Control,default_obj_module_geom_scope,Set the specified Shared Geometry reference control conditions to newly created models for configurable structure modules if template models were not used.,"all, none, pg, tagged",all
